patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-63-A5MJ-01A-11R-A27Q-07	TCGA-63-A5MJ	LUSC	0.0829	9.0629	0.5593	1.5766	218.2639	0.4528	297.6874	6.4954	4.6499	89.6259	48.4254	192.9283	77.4006	61.3617	0.1963	0.1281	0.0283	0.5104	0.0085	0.0154	7.9673	0.0268	3.6288	56.6191	22.8773	108.3925	0.0714	15.4698	13.1309	0.7596	0.0094	6.5519	7.6812	147.0398	1.7	0.1336	19.0966	16.5234	0.0097	467.2172	5.2178	0.0921	3.5305	3.103	23.3152	42.2251	0.0641	1714.8834	1.644	6.4297	0.0424	23.6119	7.3	34.3527	1.8528	46.5434	0.4593	8.3859	3.128	1.1916	0.0084	0.7219	26.2289	246.0616	0.1285	0.1406	0.2361	0.0189	1.173
TCGA-63-A5MM-01A-11R-A26W-07	TCGA-63-A5MM	LUSC	0.5403	21.6153	1.2909	3.2732	307.5252	1.2994	590.5159	19.1403	32.534	126.1685	23.3159	152.8186	29.4594	31.9916	1.0313	15.0952	0.0393	3.3073	0.1059	0	33.657	0.0838	11.1729	116.9765	67.2025	87.7562	0.0496	20.4101	153.8568	1.9041	0.026	5.7338	27.8107	233.4402	7.0818	0.3647	75.01	34.5417	4.2649	243.034	34.6307	0.1244	2.5633	9.1591	21.4387	23.7542	0.0137	1580.2772	7.0133	21.936	0.0353	28.1383	12.396	121.2133	5.3198	138.1144	1.2006	38.4422	19.8652	2.6474	0.3135	1.1622	89.5359	1175.8053	0.3213	0.2097	0.7082	0	23.0711
TCGA-63-A5MP-01A-11R-A26W-07	TCGA-63-A5MP	LUSC	15.798	21.2506	1.7504	2.437	182.619	1.1273	234.0589	8.5134	6.3924	58.387	57.1542	119.4109	30.2075	16.8337	0.837	1.8081	0.0115	0.4588	0	0.0753	13.2553	0.2132	5.6584	33.7379	27.1666	33.8666	0.0524	48.8735	8.885	0.8164	0.0153	1.5632	44.9184	110.8125	9.6998	0.2029	24.3561	6.2058	0.7277	85.2633	11.855	0.0538	2.9226	7.0566	12.283	40.5986	0.0764	510.9119	5.3017	17.0189	0.0069	23.0059	24.3783	18.1571	2.9534	52.6533	1.3683	24.6911	7.2668	3.0258	0.0886	1.1431	24.7869	722.0333	1.0375	0.3269	0.6161	0	7.5396
TCGA-63-A5MR-01A-31R-A27Q-07	TCGA-63-A5MR	LUSC	0.1291	6.7997	0.909	1.0279	635.8379	0.2886	267.3877	10.9853	3.456	56.6404	60.6488	164.0742	96.4382	79.769	0.2932	101.5325	0	0.2932	0.0506	0	37.6081	0	2.9478	46.2848	17.7368	274.7738	0.096	5.5549	116.1872	0.3831	0.014	151.8566	40.178	450.697	1.0336	0.3855	7.4676	24.0222	0.2761	2094.3289	8.7448	0.0632	6.7386	1.2112	53.9239	68.9474	0.0221	10029.1953	1.0177	5.6812	0	28.0353	9.9013	31.3878	2.6843	35.9099	0.1256	3.6475	2.04	0.445	0.075	1.6917	12.7089	203.7791	0.192	0.07	9.7763	0.0988	3.5544
TCGA-63-A5MS-01A-11R-A26W-07	TCGA-63-A5MS	LUSC	10.5651	31.3797	2.1467	2.7807	248.043	1.1572	301.3192	9.2948	7.212	45.2758	83.8735	116.908	19.2982	62.0978	1.0295	6.2812	0	0.3763	0	0	18.8761	0.257	8.3962	41.4918	44.569	58.8218	0.2396	2.5696	30.7131	1.04	0.0449	0.3786	59.502	90.7824	3.5268	0.1546	65.5444	9.8466	0.7924	34.6892	10.3402	0.0596	1.7255	6.0275	9.0452	14.2695	0.0709	128.1592	5.0746	24.2318	0.1218	32.0352	11.9336	38.0676	4.7263	70.9645	0.7049	29.175	5.2176	3.1404	0.0801	0.94	43.6976	1139.3635	0.6775	0.2994	0.7694	0.0453	10.1733
TCGA-63-A5MT-01A-21R-A26W-07	TCGA-63-A5MT	LUSC	0.1838	14.4547	1.7069	1.4202	181.7595	0.1945	326.6513	23.1597	4.5236	79.9073	59.9294	157.6456	28.7503	14.3403	0.6053	0.688	0.038	0.0703	0	0	30.0937	0.054	7.0445	40.3044	33.6223	60.2634	0.0192	1.6573	40.9085	1.4038	0.0503	1.9374	44.0954	254.6126	6.0036	0.3341	1.6336	19.3128	0.8619	140.5974	3.4668	0.0501	2.5227	0.9211	20.8425	20.413	0.0397	982.6253	1.9884	10.6598	0	29.7422	13.7339	114.4732	3.7554	57.2951	0.4272	27.8507	2.1124	0.8684	0.0225	2.0647	27.561	515.4436	0.2416	0.0559	5.4775	0	12.6966
TCGA-63-A5MW-01A-11R-A26W-07	TCGA-63-A5MW	LUSC	0.9921	6.4497	0.8574	1.1182	82.6624	0.4253	244.268	15.2098	4.7616	32.9117	13.4682	88.5202	15.3793	22.3377	0.3431	25.8647	0.0181	0.4693	0	0.0197	34.3241	0.0172	2.6871	29.1422	15.2088	38.1377	0.1098	0.5583	107.6788	0.2717	0	0.6341	28.6211	176.7582	0.8812	0.7142	4.7933	3.9557	0.028	6.3331	5.6861	6.9227	1.2405	3.5616	28.2793	8.1185	0.0063	26.072	1.8211	5.0292	0.0108	26.8321	5.4926	8.8965	1.3275	26.2839	4.2718	4.29	2.6441	0.5887	0.1071	0.7638	16.6257	237.1792	0.1317	0.14	0.3992	0	3.8029
TCGA-66-2734-01A-01R-0980-07	TCGA-66-2734	LUSC	0.3409	28.1649	2.6329	0.915	618.3418	0.1641	815.5485	33.1556	2.7023	107.9931	14.219	382.4449	61.686	60.5203	1.3457	69.2318	0.0143	0.0132	0.0085	0	22.3137	0.0945	7.0554	17.2453	36.986	442.4983	0.1797	2.2253	64.7987	0.6058	0.0094	24.686	37.4482	388.4762	4.5743	0.3479	11.5044	20.3838	0.8152	1278.0657	3.383	0.0326	2.2999	1.0779	38.0226	47.5591	0.0348	6604.2879	0.4249	28.2425	0.0085	31.1643	6.8823	23.0819	9.5868	107.2129	0.1088	35.3752	2.3189	0.8054	0.16	1.5008	54.1488	672.5931	0.1165	0.0839	1.8254	0.0285	26.0677
TCGA-66-2737-01A-01R-0980-07	TCGA-66-2737	LUSC	1.143	33.6869	1.091	2.2679	268.9113	0.4903	326.7233	15.662	4.7179	41.531	21.1705	437.711	68.5825	30.1919	1.0333	8.8426	0.018	0.3986	0	0	14.5356	0.0851	7.5601	45.5833	24.7318	329.48630000000003	0.0181	5.1405	49.0917	1.3207	0	6.0555	8.7371	234.2401	3.3147	0.5146	29.1657	9.9226	0.3796	123.9871	11.829	0.2937	2.0852	5.9299	29.5489	19.3299	0.0188	795.1943	1.6634	28.8365	0.0107	25.9415	19.6004	50.2702	4.5718	100.228	0.6743	19.3818	3.8098	2.009	0.1167	2.37	59.3456	1066.4272	0.3915	0.1387	0.6592	0	13.1143
TCGA-66-2742-01A-01R-0980-07	TCGA-66-2742	LUSC	8.92	14.9758	2.0855	1.0608	238.099	0.2529	362.372	23.1178	3.4234	82.7462	15.4941	410.8357	59.2351	40.3156	0.5287	51.5667	0.0205	0.189	0.0367	0	20.2725	0.1356	5.1821	23.6922	66.6073	433.6488	0.2579	1.5938	24.4863	0.3349	0.0541	3.1194	11.8925	156.188	1.7508	0.1864	16.376	15.1042	0.3759	212.2311	5.0079	0.0755	1.3572	2.8757	40.7104	26.0034	0.0998	2754.457	1.027	17.9954	0.0979	44.1748	4.0995	16.4831	3.1031	37.1598	0.6982	14.4249	2.6003	0.9836	0.0846	0.7028	21.549	551.4614	0.557	0.1354	1.1324	0.0546	6.2925
TCGA-66-2754-01A-01R-0980-07	TCGA-66-2754	LUSC	0.1835	7.7359	0.3636	0.5302	428.4096	0.108	767.6514	26.4108	3.1848	23.5764	3.0257	235.7357	130.9264	5.2866	0.2884	15.5741	0.0195	0.1081	0	0.0212	5.1336	0.0185	2.3167	21.6092	13.7183	19.6938	0.0393	0.6266	14.4875	0.2241	0.0129	0.783	2.9839	363.0371	1.0461	0.1586	5.3332	2.2215	0.559	2.13	5.9162	7.4554	3.3101	1.5955	14.3879	11.4676	0.0883	20.6344	0.4893	4.687	0.0117	19.1209	1.0472	12.1605	0.7172	18.1215	0.1157	3.6501	1.9406	1.0427	0.0115	5.4149	16.2349	268.6668	0.1415	0.0072	0.117	0.039	6.3367000000000004
TCGA-66-2756-01A-01R-0851-07	TCGA-66-2756	LUSC	161.8268	8.169	0.5263	1.6263	188.1432	0.5714	445.7566	20.582	3.7748	43.2799	3.5066	247.0841	42.9075	7.6643	0.4055	0.9566	0	0.2382	0	0.0373	7.0193	0.0325	4.3246	22.2534	29.9279	41.2013	0.026	0.6693	13.3431	0.2095	0.2046	1.3228	14.5743	174.349	1.3249	0.1789	9.9172	7.8091	5.7151	3.6471	5.3222	0.0423	1.622	4.5911	8.6948	7.2359	0.0838	45.202	0.602	6.6102	0.2055	30.3455	2.8907	27.4435	1.1223	33.9065	0.3424	5.1452	2.688	1.4561	0.0304	0.7712	22.1215	310.5767	0.2027	0.0126	0.6417	0.0115	1.527
TCGA-66-2757-01A-01R-0851-07	TCGA-66-2757	LUSC	0.5447	19.3873	1.5705	1.647	168.3873	0.4357	444.3037	12.0081	8.864	49.8021	22.1699	242.1819	35.1406	15.5553	0.2856	80.9523	0.0487	0.5696	0.0485	0.0176	13.7071	0.0614	4.9646	78.115	10.4817	78.5381	0.0491	2.0945	15.4215	0.7853	0.0107	0.9592	9.9048	133.8315	3.0926	0.2692	50.7559	5.8468	0.4457	8.3122	9.7853	0.0456	1.7114	7.0967	12.6627	16.3213	0.0169	70.1071	0.8143	16.3808	0.0388	26.7606	2.7621000000000002	237.2488	1.9435	53.1686	2.0907	8.1257	6.6324	3.4024	0.1437	0.8568	37.1709	852.6403	0.7803	0.1849	0.9844	0.0216	3.2435
TCGA-66-2759-01A-01R-0851-07	TCGA-66-2759	LUSC	0.1483	24.5314	1.9616	2.4075	365.5333	0.5316	736.5474	35.42	9.3624	63.0987	42.5568	439.3673	248.3957	19.3648	0.8189	21.2202	0.0324	0.7781	0.0097	0	10.3998	0.0843	8.768	44.9412	16.6473	574.5017	0.3185	31.4341	18.72	0.9644	0.0107	21.4515	49.0182	191.8688	3.1925	0.2635	41.1254	8.3275	0.0779	1448.5947	13.6313	0.0697	4.0653	5.1112	58.9614	88.1654	0.0677	5721.9545	1.5581	31.1601	0.1453	26.2375	8.1545	52.7904	4.9986	89.4183	0.4806	12.2158	4.9153	2.8028	0.1721	1.0408	42.6063	825.3432	0.6907	0.1072	0.3672	0.0216	6.2383
TCGA-66-2766-01A-01R-0851-07	TCGA-66-2766	LUSC	0.1202	11.5052	0.7513	0.6988	430.6532	0.1395	609.7091	31.114	3.4894	95.2558	4.7205	387.844	123.004	47.0106	0.4631	0.3796	0.0182	0.1344	0	0	21.6351	0.0344	2.9952	10.385	21.8157	829.833	0.0275	26.3872	12.7285	0.3293	0.012	2.9885	15.6263	429.6729	2.3467	0.1183	13.5953	16.2127	0.0312	182.3523	7.6521	0.0224	2.8374	3.2096	34.4465	41.5084	0.0063	641.0656	0.6275	10.7143	0.0326	23.8267	3.3052	33.314	2.6862	47.6159	0.6937	8.6139	2.2058	0.6556	0.0644	0.46	28.0053	534.6801	0.462	0.0468	0.3031	0	4.3059
TCGA-66-2767-01A-01R-0851-07	TCGA-66-2767	LUSC	1.9832	50.2463	1.1607	5.7211	216.4949	1.6438	270.1438	12.7326	26.147	49.4489	52.1876	167.145	56.5924	42.505	2.0687	5.8355	0.101	2.085	0.141	0.0366	9.4793	0.3507	13.4588	66.6368	38.1448	37.4939	0.7642	12.8612	35.7314	1.642	0.1114	3.3564	63.8164	114.9453	6.211	0.5534	94.5462	8.6107	1.0091	64.69	32.1119	0.0769	1.4222	23.4587	9.3901	15.4897	0.0352	376.0253	6.8061	51.8284	0.1813	41.0403	15.9691	104.94	7.6688	118.5537	2.4628	29.1174	17.2036	7.5997	0.3977	1.2657	107.9858	2730.432	2.7201	0.5942	2.5827	0.0225	24.6135
TCGA-66-2768-01A-01R-0851-07	TCGA-66-2768	LUSC	0.5668	10.0754	1.1983	1.2853	471.5472	0.5366	562.4109	23.929	17.2107	72.795	66.9483	224.1916	36.8464	61.688	0.653	3.9165	0	0.508	0	0.0157	15.4929	0.0616	9.0722	101.8386	30.6427	202.3673	0.0584	2.4789	215.5436	1.2043	0.0287	14.6346	4.0967	376.1355	1.5814	0.5273	20.3117	14.1877	0.1143	166.6382	11.5459	0.1614	3.3149	5.5859	20.6963	23.0123	0.0605	4062.4256	1.2029	13.5918	0.0346	23.6011	14.2856	323.3506	3.555	101.2045	0.5766	11.142	8.8856	1.226	0.188	0.4409	38.2193	942.1189	0.3414	0.0798	1.0613	0.0193	14.1643
TCGA-66-2769-01A-02R-0851-07	TCGA-66-2769	LUSC	0.6671	31.2879	0.7051	2.6289	555.498	0.4968	567.2354	24.8056	5.2876	37.2751	188.189	195.1727	24.1484	57.3323	1.0689	28.3873	0.0514	0.2534	0.0103	0	14.5503	0.1623	11.5232	30.3611	25.9898	108.8936	0.0951	5.9527	75.8798	1.4565	0.0227	37.7723	69.3775	356.3042	3.4176	0.8644	24.1183	11.8321	1.4391	61.2404	14.8768	0.1024	1.4025	5.5607	29.2694	14.9986	0.0657	361.5287	2.9934	33.6022	0.041	21.4227	15.3913	167.7824	3.5506	90.5548	0.5522	18.1338	5.1643	2.2043	0.1721	2.0987	54.0048	1816.6712	1.1355	0.1071	4.1833	0.0229	14.2588
TCGA-66-2770-01A-01R-0851-07	TCGA-66-2770	LUSC	0.2802	26.1688	0.6122	1.8105	270.153	0.6197	219.2249	11.2009	13.8821	49.1542	53.1808	194.1625	61.6883	27.3876	0.8443	3.0658	0.0294	0.9227	0.0351	0	16.2322	0.146	5.4457	74.9372	28.2674	163.5506	0.1037	20.6047	46.0994	0.7518	0.1068	4.0686	31.2918	179.5799	4.3259	0.2963	66.9504	10.2765	0.7514	545.7422	12.6362	0.1587	2.163	8.4777	18.3038	38.4741	0.0153	2234.2564	2.5724	22.0253	0.0615	23.1959	8.8195	70.4293	6.1073	69.2202	0.8685	21.1433	9.1365	1.8003	0.4249	0.6726	44.2684	786.2141	0.3732	0.2645	0.6463	0	7.529
TCGA-66-2771-01A-01R-0980-07	TCGA-66-2771	LUSC	11.2557	30.0725	2.643	2.1692	227.443	0.6853	615.3911	18.6619	25.2892	47.0605	8.6602	537.3741	42.2995	18.5488	1.6287	18.4863	0.1581	1.7533	0.4413	0.0286	5.7117000000000004	1.6591	16.3967	37.2596	20.5553	193.5271	0.1861	3.654	22.2408	1.1381	0	10.9081	35.3829	187.9298	7.5847	1.5521	49.4208	8.7962	1.2218	2808.6761	37.0272	0.3913	2.1873	13.6086	12.534	38.3401	0.101	15793.8818	2.9766	43.396	0.063	17.2789	11.7911	91.6327	4.0388	136.2307	2.3071	31.0622	9.6622	3.8803	0.0934	1.2411	111.662	4024.0245	2.5113	0.2034	3.1458	0.0176	20.6453
TCGA-66-2773-01A-01R-1201-07	TCGA-66-2773	LUSC	8.273	25.2617	2.309	1.6326	454.5501	0.6944	332.8962	14.5926	5.8058	50.2594	9.4334	129.9495	47.5946	35.5323	1.0488	1.9614	0.0549	0.7272	0.0219	0	19.986	0.2859	5.7203	53.4678	32.3083	136.6306	0.0277	15.4995	23.1258	0.6565	0.0242	4.6078	25.1751	115.7632	2.3209	0.2858	53.31	17.1771	0.8988	616.4191	11.2228	0.2412	2.0432	7.8722	9.5268	34.44	0.0446	6557.0996	1.5503	27.2441	0.0109	28.0319	4.5723	44.9163	3.4781	72.972	1.1716	18.4196	5.5632	3.1677	0.0973	0.6287	50.3392	683.5736	0.3156	0.3297	0.9032	0	5.5818
TCGA-66-2777-01A-01R-1201-07	TCGA-66-2777	LUSC	4.8002	32.5108	1.1669	2.8058	318.4785	0.2102	410.0726	20.3893	10.3479	52.0357	128.0416	216.3317	102.4128	45.2141	1.2396	10.1624	0.0379	0.0701	0	0.0206	6.7574	0.0898	7.9467	16.8517	25.8095	112.2714	0.0765	3.1668	51.591	0.6935	0	12.3144	92.701	215.8277	3.3853	0.2839	2.1906	17.5304	1.2016	85.7937	2.9133	0.0666	2.0452	3.0904	15.755	36.7712	0.033	1098.1448	1.6958	39.5678	0	37.7826	11.9648	4.4612	9.294	105.879	1.2302	18.1602	2.5875	1.3563	0.0336	1.3415	40.5051	1215.5315	0.5852	0.0139	3.4274	0.0127	27.714
TCGA-66-2780-01A-01R-0851-07	TCGA-66-2780	LUSC	0.1572	15.7478	1.5619	1.2536	729.1973	0.2421	1002.5338	41.6624	5.8144	35.3121	60.4808	441.2655	71.2481	56.8434	0.5661	45.3609	0.0835	0.2315	0	0	13.6623	0.0474	5.0404	54.8731	34.0341	270.7423	0.0421	1.5331	76.8865	0.3606	0	39.2149	84.8168	220.0992	1.3207	0.3424	13.4696	14.8549	0.2151	112.8217	9.5944	0.0381	4.3438	2.4824	25.9932	30.5555	0.0756	1941.3606	0.9519	9.6196	0	23.5671	4.2561	78.1249	2.9833	66.4862	0.262	7.8545	4.3121	1.2847	0.1085	0.8204	32.1987	389.3737	0.485	0.0368	1.704	0	2.4963
