patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-93-7347-01A-11R-2187-07	TCGA-93-7347	LUAD	0.1907	62.0991	1.6861	8.1163	140.2347	1.8949	406.9468	18.6982	6.3871	24.8275	148.7729	82.6412	25.7351	45.2051	2.0535	0.0728	0.2789	0.8537	0.0521	0	5.6637	0.8747	7.872	43.8814	42.9599	9.196	0.0791	2.4217	25.1235	0.9653	0.0346	3.196	40.3941	110.4148	3.7271	0.3971	87.7065	15.5946	4.2683	15.7193	26.8872	0.4196	1.4316	19.2317	2.3272	6.3023	0.1032	151.697	3.7191	45.3227	0.0104	35.1533	19.2152	42.1347	9.239	66.7469	2.0065	16.2965	8.7618	17.8935	0.1853	1.9027	59.2936	2687.0172	1.6453	0.2563	4.1153	0.0349	25.6018
TCGA-93-7348-01A-21R-2039-07	TCGA-93-7348	LUAD	0.2647	16.2534	2.0813	2.5095	97.221	0.4215	262.9053	13.1754	5.3235	53.9161	48.7067	73.1955	19.3687	27.3839	0.5116	2.2632	0.1041	0.0962	0	0.0283	21.1634	0.7389	3.1766	19.641	46.3569	8.6938	0.0525	1.5592	18.8411	0.4803	0	2.6899	25.2792	116.5923	1.4917	0.3979	17.3463	11.8661	7.4472	5.653	6.5637	0.3863	1.5435	4.0391	2.0784	18.9258	0.0181	246.3286	3.3604	15.8182	0	54.4023	14.4556	10.159	6.1116	27.3654	0.3033	3.8302	3.1912	3.1116	0.1229	1.3647	10.7589	974.9088	1.3459	0.1148	1.0757	0	6.2909
TCGA-93-8067-01A-11R-2287-07	TCGA-93-8067	LUAD	0.3202	11.8287	2.7744	1.5609	222.4079	0.7244	651.4017	15.1629	4.6318	57.8086	13.1625	130.9053	30.1787	16.0485	0.323	8.3915	0	0.2908	0.0075	0	19.8173	0.0894	3.8768	72.6412	88.4011	64.3965	0.0127	1.1589	30.6907	0.4647	0.0916	0.6928	13.6579	155.2156	1.1554	0.086	14.6921	25.2418	9.9916	6.26	11.0197	0.0586	6.8457	1.4552	0.9071	13.4829	0.0175	112.8772	1.3361	7.5496	0.0979	32.0433	2.7609	18.0409	2.8329	20.2558	0.1467	8.3977	5.0064	0.6808	0.2007	0.5928	24.6295	512.6668	0.2513	0.0833	0.1847	0.0252	4.8977
TCGA-93-A4JN-01A-11R-A24X-07	TCGA-93-A4JN	LUAD	0.1803	20.9951	2.3385	2.0117	94.5853	0.3463	295.8161	24.8331	5.0714	42.1904	20.0271	39.8572	19.4305	34.9232	0.4014	5.5686	0.0864	0.0958	0.031	0	13.7327	0.1718	3.5844	49.4128	42.6056	12.8221	0.1482	2.2739	30.5399	0.626	0.1029	0.9834	61.729	50.3004	2.4553	0.2025	7.2358	6.3928	6.6296	7.4451	3.9284	0.12	1.1112	1.7951	2.6712	8.6144	0.0241	70.778	3.4252	13.0627	0.0103	25.1533	7.4436	6.5509	3.7435	31.5212	0.1722	7.7459	7.0893	2.2435	0.1225	1.031	13.7118	710.0732	1.0509	0.1398	0.4149	0	6.5759
TCGA-93-A4JO-01A-21R-A24X-07	TCGA-93-A4JO	LUAD	0.3462	50.9605	2.0776	2.7964	116.4891	1.6115	263.0584	17.4966	8.5829	25.0925	70.645	59.727	23.385	43.0872	1.8327	4.9758	0.1512	0.7585	0.0258	0	16.7187	0.3886	8.9601	40.2028	69.06	5.8221	0.0545	3.8777	37.5699	0.7298	0.0571	3.2053	11.0621	81.0973	1.5436	0.2038	55.7083	19.3812	7.8597	12.9409	15.5665	0.1385	1.1111	10.3144	2.1523	14.5861	0.0451	94.286	3.5468	34.7368	0.0904	24.3883	17.5995	35.0349	8.1171	133.5364	1.3325	12.7577	11.7023	7.244	0.4209	0.7899	43.4221	1325.4742	2.5878	0.6035	0.994	0	8.1352
TCGA-93-A4JP-01A-11R-A24X-07	TCGA-93-A4JP	LUAD	1.0205	33.5612	2.0619	0.7763	92.7244	0.5102	186.6846	24.1786	1.5374	32.4228	6.4679	75.2355	29.5073	16.736	1.7837	1.044	0	0.2336	0.0302	0.0366	26.7863	0.2075	7.0577	26.5062	136.0486	7.3181	0.102	3.6734	18.7478	1.0802	0.0111	2.3069	9.0696	56.2443	0.6094	0.4333	16.6287	8.7018	6.3126	83.2201	3.3052	0.1984	1.3892	2.3942	2.5211	14.5661	0.0176	708.4525	1.234	36.2077	0	29.9803	7.6234	43.954	9.5872	49.3542	0.1787	20.8835	3.2437	1.4385	0.209	0.9589	83.8402	2511.0688	0.3366	0.0434	3.125	0	29.4029
TCGA-93-A4JQ-01A-11R-A24X-07	TCGA-93-A4JQ	LUAD	0.4062	31.2986	2.0356	4.4546	125.5898	2.8235	225.9525	21.2919	10.8077	34.0716	102.4329	93.9213	19.3513	32.8351	0.8666	0.8713	0.2722	1.3247	0.0109	0.0197	44.1462	0.2577	5.6776	71.4007	40.3748	36.8415	0.1922	6.8114	62.4988	1.1502	0.012	4.4809	26.3981	116.3934	2.7368	0.2657	55.9898	25.8382	3.2778	9.549	16.9517	0.4528	2.2698	5.7807	9.2922	10.0054	0.2402	256.0726	6.2341	26.6783	0.0326	33.573	24.1443	49.6152	6.915	45.1335	0.6462	6.8198	8.3142	9.7712	0.3965	2.7515	28.4952	1199.2492	4.0019	0.3002	2.396	0.0121	5.0686
TCGA-95-7039-01A-11R-1949-07	TCGA-95-7039	LUAD	0.4221	14.9266	1.9168	0.7985	198.3363	5.4783	414.2817	24.8314	4.9045	32.0008	17.6155	63.7641	26.3925	73.1714	0.322	13.2887	0.1207	0.0836	0	0	25.8178	0.3856	2.7501	32.9279	72.074700000000007	20.0736	0.0609	4.1744	26.8543	0.2311	0.0798	0.1907	25.8774	124.8197	0.7157	0.0785	47.952	27.7947	10.3701	2.6142	5.0485	0.1007	2.6537	4.7386	0.8971	6.1205	0	47.366	0.9149	7.6465	0	27.1671	5.8542	19.1338	1.5668	20.8114	0.4988	5.155	3.3918	3.5352	0.0356	1.0864	14.9522	541.7689	0.3833	0.0887	0.1408	0	4.5612
TCGA-95-7043-01A-11R-1949-07	TCGA-95-7043	LUAD	0.3359	5.0474	1.1484	0.2976	157.648	0.3195	248.3924	6.4057	1.1603	28.5831	1.1795	125.1375	53.7894	12.4545	0.1136	0.0248	0	0.0989	0.0213	0	6.3036	0.0169	0.6623	20.3832	13.3912	11.1877	0.108	0.3013	3.0065	0.0373	0.0472	0.3185	1.3299	148.5206	0.3528	0.0929	4.2232	9.9154	10.1103	6.8571	3.0306	0.0376	2.4091	3.4314	0.9373	7.5641	0	79.3078	0.112	2.9573	0	60.4192	1.0083	4.7579	0.7372	8.3597	0.2723	1.4558	1.126	0.8364	0	0.7711	10.4045	127.6946	0.0972	0.0131	0.2142	0.0238	0.7235
TCGA-95-7562-01A-11R-2241-07	TCGA-95-7562	LUAD	0.1315	24.7025	1.7579	1.6569	140.6874	0.4229	1508.906	32.5124	4.9758	35.2473	40.7521	346.0573	72.5896	12.0677	0.7799	7.4975	0.1397	0.6714	0	0	26.3207	0.1257	5.7324	56.4685	26.0106	47.2319	0.0493	1.8423	30.2686	0.3747	0.0277	1.9072	17.8454	421.7637	2.1628	0.05	106.0822	16.7419	0.9742	89.9949	6.5619	4.6394	9.65	4.2874	11.7966	43.7741	0.0195	702.0458	1.3956	23.7393	0.0084	54.2823	7.4729	95.4444	6.5676	71.3808	0.3821	16.2096	2.6827	1.7803	0.132	1.1071	52.0691	1772.0489	0.317	0.0103	0.1677	0	3.2461
