patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-49-4490-11A-01R-1858-07	TCGA-49-4490	LUAD	0.8767	38.2084	0.7053	0.2293	102.6665	2.1566	175.6966	47.5234	19.5843	32.7307	3.5443	153.2555	12.0492	25.9404	3.7011	1.7383	0.0949	0.5259	0	0	9.9789	0.0748	11.8798	28.8272	359.8441	4.5151	0.0957	6.0205	36.5513	0.9911	0.3346	3.9862	11.8993	93.202	0.7591	0.2161	20.3886	4.4695	5.8798	38.9164	48.69	0.4306	1.0072	10.9198	5.4429	7.7186	0.022	255.2086	0.4795	45.7825	0.3782	25.8137	57.4755	26.5592	4.7711	94.1879	1.5818	18.4973	34.0192	1.9192	0.3921	1.2614	118.5075	4769.5109	3.2713	0.0116	0.485	0	53.1824
TCGA-49-4512-01A-21R-1858-07	TCGA-49-4512	LUAD	0.3186	38.3802	1.7619	2.712	154.7813	0.1928	621.5773	10.8846	0.6621	22.5355	33.6111	61.0359	30.613	32.9877	2.4236	0.702	0.1044	0	0	0	12.8722	0.0988	6.8521	12.8495	26.3054	6.1151	0.1579	1.4498	46.3824	0.836	0	1.3972	6.6788	157.5838	1.179	0.0906	4.3706	4.5317	2.9925	31.6309	3.5625	0.0978	1.2708	0.8171	1.9558	4.9201	0.0121	86.8213	0.9095	16.1402	0.0416	24.239	5.089	5.0025	8.9926	71.9487	0.118	5.4625	1.0667	2.446	0.0616	1.0858	29.513	1756.2809	0.8524	0.0256	0.8815	0.0232	19.3284
TCGA-49-4512-11A-01R-1858-07	TCGA-49-4512	LUAD	0.6324	45.8514	1.282	0.2254	109.3643	1.3578	220.884	42.6992	8.872	24.1342	2.3073	137.4597	11.7295	21.4671	3.6519	1.1353	0.3108	0.8973	0	0	9.3946	0.1471	15.4417	41.3758	145.6385	2.3856	0.1175	2.9521	42.4811	0.7305	0.1541	0.939	8.8924	98.3726	0.3072	0.139	43.1047	4.9925	6.5831	146.9383	31.1447	0.2867	0.7833	2.6231	2.9849	12.4054	0	308.4399	0.6093	98.6473	0.0929	22.8891	20.1882	60.0027	13.4726	64.1979	0.4364	15.974	12.0492	3.4316	0.2753	1.3128	195.2417	6920.3768	2.7145	0.0143	1.0103	0	103.1708
TCGA-49-6742-01A-11R-1858-07	TCGA-49-6742	LUAD	1.1207	10.5677	1.0478	0.5094	159.4888	0.245	345.188	23.5625	3.6712	32.8397	3.2727	72.6851	44.422	14.0207	0.3109	1.0442	0	0.059	0	0	5.5131	0.0907	2.1204	49.4664	76.8887	26.9476	0.2737	0.9566	9.6106	0.0778	0	1.3654	39.3367	219.7397	0.4148	0.0416	1.7209	8.8348	17.6185	12.7102	3.5087	0.0365	1.5208	1.9567	0.991	45.9933	0.1112	62.6589	0.1502	4.9402	0	41.1691	1.448	2.9492	1.2499	26.5986	0.2707	3.2868	2.0572	1.7843	0.0943	3.125	20.1633	375.5712	0.4636	0	0.0639	0	3.8769
TCGA-49-6742-11A-01R-1858-07	TCGA-49-6742	LUAD	0.2144	65.5729	0.7433	0.3057	151.6529	0.313	276.9496	34.1536	1.7468	30.6538	0.2736	91.3606	23.0129	36.778	3.3765	0.2839	0	0	0	0	11.0006	0.1931	11.4209	19.2916	118.4743	3.3033	0.2057	2.4222	43.1262	0.7198	0	2.4574	31.9584	79.0667	0.5299	0.1947	3.5157	7.637	8.3906	30.7366	2.5131	0.2771	1.6133	1.8164	2.007	24.7116	0.0189	143.9682	0.3555	61.5819	0.0325	38.919	7.7286	4.7133	15.5838	29.1368	0.1845	58.3625	2.6707	0.4576	0.0963	1.1199	226.137	3636.2502	0.3702	0.02	0.9067	0	130.0752
TCGA-49-6743-01A-11R-1858-07	TCGA-49-6743	LUAD	0.6405	22.026	1.3685	1.4072	211.3323	0.4333	643.0428	36.6783	6.1188	93.8068	26.502	189.9013	42.3341	19.7274	0.636	0.2733	0.0231	0.5123	0	0	11.1575	0.2187	6.0242000000000004	47.9228	83.4647	83.535	0.0233	4.3166	31.4933	0.4183	0.1528	2.6459	18.109	118.2649	2.4727	0.1052	25.1189	34.7907	10.7728	772.7481	8.0202	1.035	5.4142	4.2813	1.75	16.6067	0.177	4958.9812	1.5703	24.2303	0.2763	54.7288	10.2023	17.2474	5.1717	67.0385	0.4015	27.4806	5.2458	2.4711	0.341	1.3055	33.1818	619.6944	0.4193	0.0594	2.2337	0.0771	10.6825
TCGA-49-6743-11A-01R-1858-07	TCGA-49-6743	LUAD	0.3641	45.9011	0.826	0.2162	97.1899	0.6483	190.3382	32.3757	3.7599	34.8558	0.5713	99.1773	15.3677	31.7917	3.1495	0.0207	0.2982	0.0551	0	0	12.3744	0.0423	11.1155	16.7069	184.9932	1.4075	0.1053	4.922	27.0966	0.6542	0.0789	3.748	10.4473	80.4474	0.6232	0.3008	4.4834	3.8064	5.8673	28.7599	9.98	0.4113	0.9324	7.8572	3.2298	19.6091	0.0208	157.1635	1.5747	48.9011	0.0713	37.6736	10.7857	6.1337	7.9778	54.8473	0.9102	32.3274	5.6714	1.7382	0.1585	0.9472	78.9518	2255.3128	0.3518	0.011	1.9487	0	87.994
TCGA-49-6744-01A-11R-1858-07	TCGA-49-6744	LUAD	0.226	51.3794	1.6506	5.057	152.4482	1.0508	478.0656	27.2392	10.0914	39.4	36.7962	98.9746	30.0316	32.3795	1.701	10.9105	0	0.2668	0	0	5.023	0.2313	11.4742	44.7121	80.9233	15.2541	0.0896	2.7947	95.0074	1.1292	0.0587	1.3544	29.6381	148.6962	6.2909	0.1156	23.0679	17.7863	15.3515	58.4573	20.6898	0.2146	2.4078	12.6817	3.842	8.8936	0.0773	615.3933	3.2398	55.2889	0.1594	42.0994	27.434	39.1254	13.3424	88.3017	1.3228	25.2944	9.2669	5.0047	0.1967	1.6938	73.3369	2432.3158	1.1488	0.0816	1.2736	0	32.2886
TCGA-49-6744-11A-01R-1858-07	TCGA-49-6744	LUAD	0.9316	38.7675	1.2053	0.1124	65.6126	0.9007	122.1817	29.1816	4.3343	29.713	0.8907	62.6722	11.0454	22.4264	2.4112	0.1372	0.169	0	0	0	12.0497	0.0933	7.1909	19.0405	653.1338	1.8922	0.1563	10.9047	17.0634	0.4611	0.1491	3.9602	15.7201	43.0473	0.915	0.1008	5.4577	3.1051	9.5488	12.3126	7.4941	0.8415	0.6504	6.8446	2.1832	23.7739	0.0589	119.221	0.4567	66.1835	0.2864	44.2603	70.4484	2.4951	8.5795	40.9168	0.6151	47.2732	10.9171	0.8973	0.3327	1.8783	44.1228	1731.8971	0.2301	0.0621	0.3757	0	86.3521
TCGA-49-6745-01A-11R-1858-07	TCGA-49-6745	LUAD	0.5813	38.155	3.4379	3.2827	221.9712	2.4677	423.3288	19.5317	8.4049	153.5337	22.7048	141.9594	24.1581	28.6269	1.4468	2.6654	0.0218	1.0256	0.1041	0	8.1707	0.1751	7.4678	85.6827	62.5647	25.2024	0.0329	27.547	190.4288	0.7958	0.0864	1.8047	55.9739	169.9026	3.78	0.1629	35.174	23.4683	8.4262	21.2635	15.8722	0.086	1.0557	12.148	14.5261	21.6896	0.0303	134.9341	1.6728	56.001	0.0651	36.48	14.8377	31.1704	11.9662	55.4715	0.9272	24.0211	7.0986	8.5925	0.2313	1.0651	64.0477	1549.1244	0.553	0.08	0.2902	0.0145	38.1519
